support,itemsets
0.339,"frozenset({'resistance, tonn_fca_bin_Medium'})"
1.0,"frozenset({'swing_frequency, amount/minute_fca_bin_Constant'})"
0.2864,"frozenset({'crystallizer_movement, mm_fca_bin_High'})"
0.6254,"frozenset({'crystallizer_movement, mm_fca_bin_Low'})"
1.0,"frozenset({'alloy_speed, meter/minute_fca_bin_Constant'})"
1.0,"frozenset({'water_consumption, liter/minute_fca_bin_Constant'})"
1.0,"frozenset({'water_temperature_delta, Celsius deg._fca_bin_Constant'})"
1.0,"frozenset({'water_consumption_secondary_cooling_zone_num1, liter/minute_fca_bin_Constant'})"
0.3294,"frozenset({'RUL_class_Healthy', 'RUL_fca_bin_High'})"
0.3294,"frozenset({'RUL_fca_bin_High', 'slag_weight_close_grab1, tonn_fca_bin_Constant'})"
0.3294,"frozenset({'metal_residue_grab1, tonn_fca_bin_Constant', 'RUL_fca_bin_High'})"
0.3294,"frozenset({'residuals_grab2, tonn_fca_bin_Constant', 'RUL_fca_bin_High'})"
0.3294,"frozenset({'technical_trim, tonn_fca_bin_Constant', 'RUL_fca_bin_High'})"
0.2326,"frozenset({'RUL_fca_bin_High', 'resistance, tonn_fca_bin_Low'})"
0.3294,"frozenset({'swing_frequency, amount/minute_fca_bin_Constant', 'RUL_fca_bin_High'})"
0.212,"frozenset({'crystallizer_movement, mm_fca_bin_Low', 'RUL_fca_bin_High'})"
0.3294,"frozenset({'alloy_speed, meter/minute_fca_bin_Constant', 'RUL_fca_bin_High'})"
0.3294,"frozenset({'RUL_fca_bin_High', 'water_consumption, liter/minute_fca_bin_Constant'})"
0.3294,"frozenset({'water_temperature_delta, Celsius deg._fca_bin_Constant', 'RUL_fca_bin_High'})"
0.3294,"frozenset({'RUL_fca_bin_High', 'water_consumption_secondary_cooling_zone_num1, liter/minute_fca_bin_Constant'})"
0.2134,"frozenset({'RUL_class_Healthy', 'RUL_fca_bin_Low'})"
0.1736,"frozenset({'steel_weight_theoretical, tonn_fca_bin_Low', 'RUL_fca_bin_Low'})"
0.3342,"frozenset({'slag_weight_close_grab1, tonn_fca_bin_Constant', 'RUL_fca_bin_Low'})"
0.3342,"frozenset({'metal_residue_grab1, tonn_fca_bin_Constant', 'RUL_fca_bin_Low'})"
0.1736,"frozenset({'steel_weight, tonn_fca_bin_Low', 'RUL_fca_bin_Low'})"
0.3342,"frozenset({'residuals_grab2, tonn_fca_bin_Constant', 'RUL_fca_bin_Low'})"
0.3342,"frozenset({'technical_trim, tonn_fca_bin_Constant', 'RUL_fca_bin_Low'})"
0.1562,"frozenset({'grab2_num_fca_bin_Medium', 'RUL_fca_bin_Low'})"
0.2194,"frozenset({'resistance, tonn_fca_bin_High', 'RUL_fca_bin_Low'})"
0.3342,"frozenset({'swing_frequency, amount/minute_fca_bin_Constant', 'RUL_fca_bin_Low'})"
0.2268,"frozenset({'crystallizer_movement, mm_fca_bin_Low', 'RUL_fca_bin_Low'})"
0.3342,"frozenset({'alloy_speed, meter/minute_fca_bin_Constant', 'RUL_fca_bin_Low'})"
0.3342,"frozenset({'water_consumption, liter/minute_fca_bin_Constant', 'RUL_fca_bin_Low'})"
0.3342,"frozenset({'water_temperature_delta, Celsius deg._fca_bin_Constant', 'RUL_fca_bin_Low'})"
0.3342,"frozenset({'water_consumption_secondary_cooling_zone_num1, liter/minute_fca_bin_Constant', 'RUL_fca_bin_Low'})"
0.3364,"frozenset({'RUL_class_Healthy', 'RUL_fca_bin_Medium'})"
0.3364,"frozenset({'slag_weight_close_grab1, tonn_fca_bin_Constant', 'RUL_fca_bin_Medium'})"
0.3364,"frozenset({'metal_residue_grab1, tonn_fca_bin_Constant', 'RUL_fca_bin_Medium'})"
0.3364,"frozenset({'residuals_grab2, tonn_fca_bin_Constant', 'RUL_fca_bin_Medium'})"
0.3364,"frozenset({'technical_trim, tonn_fca_bin_Constant', 'RUL_fca_bin_Medium'})"
0.1908,"frozenset({'resistance, tonn_fca_bin_Medium', 'RUL_fca_bin_Medium'})"
0.3364,"frozenset({'swing_frequency, amount/minute_fca_bin_Constant', 'RUL_fca_bin_Medium'})"
0.1866,"frozenset({'crystallizer_movement, mm_fca_bin_Low', 'RUL_fca_bin_Medium'})"
0.3364,"frozenset({'alloy_speed, meter/minute_fca_bin_Constant', 'RUL_fca_bin_Medium'})"
0.3364,"frozenset({'water_consumption, liter/minute_fca_bin_Constant', 'RUL_fca_bin_Medium'})"
0.3364,"frozenset({'water_temperature_delta, Celsius deg._fca_bin_Constant', 'RUL_fca_bin_Medium'})"
0.3364,"frozenset({'water_consumption_secondary_cooling_zone_num1, liter/minute_fca_bin_Constant', 'RUL_fca_bin_Medium'})"
0.243,"frozenset({'RUL_class_Healthy', 'workpiece_weight, tonn_fca_bin_High'})"
0.2774,"frozenset({'RUL_class_Healthy', 'workpiece_weight, tonn_fca_bin_Low'})"
0.3588,"frozenset({'RUL_class_Healthy', 'workpiece_weight, tonn_fca_bin_Medium'})"
0.2764,"frozenset({'RUL_class_Healthy', 'cast_in_row_fca_bin_High'})"
0.3088,"frozenset({'RUL_class_Healthy', 'cast_in_row_fca_bin_Low'})"
0.294,"frozenset({'RUL_class_Healthy', 'cast_in_row_fca_bin_Medium'})"
0.2428,"frozenset({'RUL_class_Healthy', 'steel_weight_theoretical, tonn_fca_bin_High'})"
0.3796,"frozenset({'RUL_class_Healthy', 'steel_weight_theoretical, tonn_fca_bin_Low'})"
0.2568,"frozenset({'RUL_class_Healthy', 'steel_weight_theoretical, tonn_fca_bin_Medium'})"
0.8792,"frozenset({'RUL_class_Healthy', 'slag_weight_close_grab1, tonn_fca_bin_Constant'})"
0.8792,"frozenset({'RUL_class_Healthy', 'metal_residue_grab1, tonn_fca_bin_Constant'})"
0.2428,"frozenset({'RUL_class_Healthy', 'steel_weight, tonn_fca_bin_High'})"
0.3796,"frozenset({'RUL_class_Healthy', 'steel_weight, tonn_fca_bin_Low'})"
0.2568,"frozenset({'RUL_class_Healthy', 'steel_weight, tonn_fca_bin_Medium'})"
0.8792,"frozenset({'RUL_class_Healthy', 'residuals_grab2, tonn_fca_bin_Constant'})"
0.8792,"frozenset({'RUL_class_Healthy', 'technical_trim, tonn_fca_bin_Constant'})"
0.2286,"frozenset({'RUL_class_Healthy', 'grab1_num_fca_bin_High'})"
0.3236,"frozenset({'RUL_class_Healthy', 'grab1_num_fca_bin_Low'})"
0.327,"frozenset({'RUL_class_Healthy', 'grab1_num_fca_bin_Medium'})"
0.268,"frozenset({'RUL_class_Healthy', 'steel_temperature_grab1, Celsius deg._fca_bin_High'})"
0.2966,"frozenset({'RUL_class_Healthy', 'steel_temperature_grab1, Celsius deg._fca_bin_Low'})"
0.3146,"frozenset({'RUL_class_Healthy', 'steel_temperature_grab1, Celsius deg._fca_bin_Medium'})"
0.1522,"frozenset({'RUL_class_Healthy', 'grab2_num_fca_bin_High'})"
0.3562,"frozenset({'RUL_class_Healthy', 'grab2_num_fca_bin_Low'})"
0.3708,"frozenset({'RUL_class_Healthy', 'grab2_num_fca_bin_Medium'})"
0.2364,"frozenset({'RUL_class_Healthy', 'resistance, tonn_fca_bin_High'})"
0.313,"frozenset({'RUL_class_Healthy', 'resistance, tonn_fca_bin_Low'})"
0.3298,"frozenset({'resistance, tonn_fca_bin_Medium', 'RUL_class_Healthy'})"
0.8792,"frozenset({'swing_frequency, amount/minute_fca_bin_Constant', 'RUL_class_Healthy'})"
0.2606,"frozenset({'RUL_class_Healthy', 'crystallizer_movement, mm_fca_bin_High'})"
0.5358,"frozenset({'RUL_class_Healthy', 'crystallizer_movement, mm_fca_bin_Low'})"
0.8792,"frozenset({'RUL_class_Healthy', 'alloy_speed, meter/minute_fca_bin_Constant'})"
0.8792,"frozenset({'RUL_class_Healthy', 'water_consumption, liter/minute_fca_bin_Constant'})"
0.8792,"frozenset({'water_temperature_delta, Celsius deg._fca_bin_Constant', 'RUL_class_Healthy'})"
0.8792,"frozenset({'RUL_class_Healthy', 'water_consumption_secondary_cooling_zone_num1, liter/minute_fca_bin_Constant'})"
0.2406,"frozenset({'steel_weight_theoretical, tonn_fca_bin_High', 'workpiece_weight, tonn_fca_bin_High'})"
0.2644,"frozenset({'workpiece_weight, tonn_fca_bin_High', 'slag_weight_close_grab1, tonn_fca_bin_Constant'})"
0.2644,"frozenset({'metal_residue_grab1, tonn_fca_bin_Constant', 'workpiece_weight, tonn_fca_bin_High'})"
0.2406,"frozenset({'steel_weight, tonn_fca_bin_High', 'workpiece_weight, tonn_fca_bin_High'})"
0.2644,"frozenset({'workpiece_weight, tonn_fca_bin_High', 'residuals_grab2, tonn_fca_bin_Constant'})"
0.2644,"frozenset({'workpiece_weight, tonn_fca_bin_High', 'technical_trim, tonn_fca_bin_Constant'})"
0.2644,"frozenset({'swing_frequency, amount/minute_fca_bin_Constant', 'workpiece_weight, tonn_fca_bin_High'})"
0.1612,"frozenset({'crystallizer_movement, mm_fca_bin_Low', 'workpiece_weight, tonn_fca_bin_High'})"
0.2644,"frozenset({'alloy_speed, meter/minute_fca_bin_Constant', 'workpiece_weight, tonn_fca_bin_High'})"
0.2644,"frozenset({'workpiece_weight, tonn_fca_bin_High', 'water_consumption, liter/minute_fca_bin_Constant'})"
0.2644,"frozenset({'water_temperature_delta, Celsius deg._fca_bin_Constant', 'workpiece_weight, tonn_fca_bin_High'})"
0.2644,"frozenset({'workpiece_weight, tonn_fca_bin_High', 'water_consumption_secondary_cooling_zone_num1, liter/minute_fca_bin_Constant'})"
0.32,"frozenset({'workpiece_weight, tonn_fca_bin_Low', 'steel_weight_theoretical, tonn_fca_bin_Low'})"
0.3324,"frozenset({'workpiece_weight, tonn_fca_bin_Low', 'slag_weight_close_grab1, tonn_fca_bin_Constant'})"
0.3324,"frozenset({'workpiece_weight, tonn_fca_bin_Low', 'metal_residue_grab1, tonn_fca_bin_Constant'})"
0.32,"frozenset({'workpiece_weight, tonn_fca_bin_Low', 'steel_weight, tonn_fca_bin_Low'})"
0.3324,"frozenset({'workpiece_weight, tonn_fca_bin_Low', 'residuals_grab2, tonn_fca_bin_Constant'})"
0.3324,"frozenset({'workpiece_weight, tonn_fca_bin_Low', 'technical_trim, tonn_fca_bin_Constant'})"
0.3324,"frozenset({'swing_frequency, amount/minute_fca_bin_Constant', 'workpiece_weight, tonn_fca_bin_Low'})"
0.2078,"frozenset({'workpiece_weight, tonn_fca_bin_Low', 'crystallizer_movement, mm_fca_bin_Low'})"
0.3324,"frozenset({'alloy_speed, meter/minute_fca_bin_Constant', 'workpiece_weight, tonn_fca_bin_Low'})"
0.3324,"frozenset({'workpiece_weight, tonn_fca_bin_Low', 'water_consumption, liter/minute_fca_bin_Constant'})"
0.3324,"frozenset({'water_temperature_delta, Celsius deg._fca_bin_Constant', 'workpiece_weight, tonn_fca_bin_Low'})"
0.3324,"frozenset({'workpiece_weight, tonn_fca_bin_Low', 'water_consumption_secondary_cooling_zone_num1, liter/minute_fca_bin_Constant'})"
0.2564,"frozenset({'steel_weight_theoretical, tonn_fca_bin_Medium', 'workpiece_weight, tonn_fca_bin_Medium'})"
0.4032,"frozenset({'workpiece_weight, tonn_fca_bin_Medium', 'slag_weight_close_grab1, tonn_fca_bin_Constant'})"
0.4032,"frozenset({'metal_residue_grab1, tonn_fca_bin_Constant', 'workpiece_weight, tonn_fca_bin_Medium'})"
0.2564,"frozenset({'steel_weight, tonn_fca_bin_Medium', 'workpiece_weight, tonn_fca_bin_Medium'})"
0.4032,"frozenset({'workpiece_weight, tonn_fca_bin_Medium', 'residuals_grab2, tonn_fca_bin_Constant'})"
0.4032,"frozenset({'workpiece_weight, tonn_fca_bin_Medium', 'technical_trim, tonn_fca_bin_Constant'})"
0.1558,"frozenset({'workpiece_weight, tonn_fca_bin_Medium', 'grab1_num_fca_bin_Low'})"
0.1654,"frozenset({'grab2_num_fca_bin_Low', 'workpiece_weight, tonn_fca_bin_Medium'})"
0.1664,"frozenset({'workpiece_weight, tonn_fca_bin_Medium', 'grab2_num_fca_bin_Medium'})"
0.4032,"frozenset({'swing_frequency, amount/minute_fca_bin_Constant', 'workpiece_weight, tonn_fca_bin_Medium'})"
0.2564,"frozenset({'crystallizer_movement, mm_fca_bin_Low', 'workpiece_weight, tonn_fca_bin_Medium'})"
0.4032,"frozenset({'alloy_speed, meter/minute_fca_bin_Constant', 'workpiece_weight, tonn_fca_bin_Medium'})"
0.4032,"frozenset({'workpiece_weight, tonn_fca_bin_Medium', 'water_consumption, liter/minute_fca_bin_Constant'})"
0.4032,"frozenset({'water_temperature_delta, Celsius deg._fca_bin_Constant', 'workpiece_weight, tonn_fca_bin_Medium'})"
0.4032,"frozenset({'workpiece_weight, tonn_fca_bin_Medium', 'water_consumption_secondary_cooling_zone_num1, liter/minute_fca_bin_Constant'})"
0.3276,"frozenset({'cast_in_row_fca_bin_High', 'slag_weight_close_grab1, tonn_fca_bin_Constant'})"
0.3276,"frozenset({'metal_residue_grab1, tonn_fca_bin_Constant', 'cast_in_row_fca_bin_High'})"
0.3276,"frozenset({'residuals_grab2, tonn_fca_bin_Constant', 'cast_in_row_fca_bin_High'})"
0.3276,"frozenset({'technical_trim, tonn_fca_bin_Constant', 'cast_in_row_fca_bin_High'})"
0.3276,"frozenset({'swing_frequency, amount/minute_fca_bin_Constant', 'cast_in_row_fca_bin_High'})"
0.177,"frozenset({'crystallizer_movement, mm_fca_bin_Low', 'cast_in_row_fca_bin_High'})"
0.3276,"frozenset({'alloy_speed, meter/minute_fca_bin_Constant', 'cast_in_row_fca_bin_High'})"
0.3276,"frozenset({'cast_in_row_fca_bin_High', 'water_consumption, liter/minute_fca_bin_Constant'})"
0.3276,"frozenset({'water_temperature_delta, Celsius deg._fca_bin_Constant', 'cast_in_row_fca_bin_High'})"
0.3276,"frozenset({'water_consumption_secondary_cooling_zone_num1, liter/minute_fca_bin_Constant', 'cast_in_row_fca_bin_High'})"
0.157,"frozenset({'steel_weight_theoretical, tonn_fca_bin_Low', 'cast_in_row_fca_bin_Low'})"
0.3374,"frozenset({'slag_weight_close_grab1, tonn_fca_bin_Constant', 'cast_in_row_fca_bin_Low'})"
0.3374,"frozenset({'metal_residue_grab1, tonn_fca_bin_Constant', 'cast_in_row_fca_bin_Low'})"
0.157,"frozenset({'steel_weight, tonn_fca_bin_Low', 'cast_in_row_fca_bin_Low'})"
0.3374,"frozenset({'residuals_grab2, tonn_fca_bin_Constant', 'cast_in_row_fca_bin_Low'})"
0.3374,"frozenset({'technical_trim, tonn_fca_bin_Constant', 'cast_in_row_fca_bin_Low'})"
0.1638,"frozenset({'steel_temperature_grab1, Celsius deg._fca_bin_High', 'cast_in_row_fca_bin_Low'})"
0.3374,"frozenset({'swing_frequency, amount/minute_fca_bin_Constant', 'cast_in_row_fca_bin_Low'})"
0.2264,"frozenset({'crystallizer_movement, mm_fca_bin_Low', 'cast_in_row_fca_bin_Low'})"
0.3374,"frozenset({'alloy_speed, meter/minute_fca_bin_Constant', 'cast_in_row_fca_bin_Low'})"
0.3374,"frozenset({'water_consumption, liter/minute_fca_bin_Constant', 'cast_in_row_fca_bin_Low'})"
0.3374,"frozenset({'water_temperature_delta, Celsius deg._fca_bin_Constant', 'cast_in_row_fca_bin_Low'})"
0.3374,"frozenset({'water_consumption_secondary_cooling_zone_num1, liter/minute_fca_bin_Constant', 'cast_in_row_fca_bin_Low'})"
0.1574,"frozenset({'cast_in_row_fca_bin_Medium', 'steel_weight_theoretical, tonn_fca_bin_Low'})"
0.335,"frozenset({'cast_in_row_fca_bin_Medium', 'slag_weight_close_grab1, tonn_fca_bin_Constant'})"
0.335,"frozenset({'metal_residue_grab1, tonn_fca_bin_Constant', 'cast_in_row_fca_bin_Medium'})"
0.1574,"frozenset({'cast_in_row_fca_bin_Medium', 'steel_weight, tonn_fca_bin_Low'})"
0.335,"frozenset({'cast_in_row_fca_bin_Medium', 'residuals_grab2, tonn_fca_bin_Constant'})"
0.335,"frozenset({'cast_in_row_fca_bin_Medium', 'technical_trim, tonn_fca_bin_Constant'})"
0.335,"frozenset({'swing_frequency, amount/minute_fca_bin_Constant', 'cast_in_row_fca_bin_Medium'})"
0.222,"frozenset({'crystallizer_movement, mm_fca_bin_Low', 'cast_in_row_fca_bin_Medium'})"
0.335,"frozenset({'alloy_speed, meter/minute_fca_bin_Constant', 'cast_in_row_fca_bin_Medium'})"
0.335,"frozenset({'cast_in_row_fca_bin_Medium', 'water_consumption, liter/minute_fca_bin_Constant'})"
0.335,"frozenset({'water_temperature_delta, Celsius deg._fca_bin_Constant', 'cast_in_row_fca_bin_Medium'})"
0.335,"frozenset({'cast_in_row_fca_bin_Medium', 'water_consumption_secondary_cooling_zone_num1, liter/minute_fca_bin_Constant'})"
0.267,"frozenset({'steel_weight_theoretical, tonn_fca_bin_High', 'slag_weight_close_grab1, tonn_fca_bin_Constant'})"
0.267,"frozenset({'steel_weight_theoretical, tonn_fca_bin_High', 'metal_residue_grab1, tonn_fca_bin_Constant'})"
0.267,"frozenset({'steel_weight_theoretical, tonn_fca_bin_High', 'steel_weight, tonn_fca_bin_High'})"
0.267,"frozenset({'steel_weight_theoretical, tonn_fca_bin_High', 'residuals_grab2, tonn_fca_bin_Constant'})"
0.267,"frozenset({'steel_weight_theoretical, tonn_fca_bin_High', 'technical_trim, tonn_fca_bin_Constant'})"
0.267,"frozenset({'swing_frequency, amount/minute_fca_bin_Constant', 'steel_weight_theoretical, tonn_fca_bin_High'})"
0.1758,"frozenset({'steel_weight_theoretical, tonn_fca_bin_High', 'crystallizer_movement, mm_fca_bin_Low'})"
0.267,"frozenset({'alloy_speed, meter/minute_fca_bin_Constant', 'steel_weight_theoretical, tonn_fca_bin_High'})"
0.267,"frozenset({'steel_weight_theoretical, tonn_fca_bin_High', 'water_consumption, liter/minute_fca_bin_Constant'})"
0.267,"frozenset({'water_temperature_delta, Celsius deg._fca_bin_Constant', 'steel_weight_theoretical, tonn_fca_bin_High'})"
0.267,"frozenset({'steel_weight_theoretical, tonn_fca_bin_High', 'water_consumption_secondary_cooling_zone_num1, liter/minute_fca_bin_Constant'})"
0.4498,"frozenset({'slag_weight_close_grab1, tonn_fca_bin_Constant', 'steel_weight_theoretical, tonn_fca_bin_Low'})"
0.4498,"frozenset({'metal_residue_grab1, tonn_fca_bin_Constant', 'steel_weight_theoretical, tonn_fca_bin_Low'})"
0.4498,"frozenset({'steel_weight, tonn_fca_bin_Low', 'steel_weight_theoretical, tonn_fca_bin_Low'})"
0.4498,"frozenset({'residuals_grab2, tonn_fca_bin_Constant', 'steel_weight_theoretical, tonn_fca_bin_Low'})"
0.4498,"frozenset({'technical_trim, tonn_fca_bin_Constant', 'steel_weight_theoretical, tonn_fca_bin_Low'})"
0.1674,"frozenset({'grab1_num_fca_bin_Low', 'steel_weight_theoretical, tonn_fca_bin_Low'})"
0.168,"frozenset({'grab1_num_fca_bin_Medium', 'steel_weight_theoretical, tonn_fca_bin_Low'})"
0.1592,"frozenset({'steel_temperature_grab1, Celsius deg._fca_bin_Low', 'steel_weight_theoretical, tonn_fca_bin_Low'})"
0.1568,"frozenset({'steel_temperature_grab1, Celsius deg._fca_bin_Medium', 'steel_weight_theoretical, tonn_fca_bin_Low'})"
0.1966,"frozenset({'grab2_num_fca_bin_Low', 'steel_weight_theoretical, tonn_fca_bin_Low'})"
0.18,"frozenset({'grab2_num_fca_bin_Medium', 'steel_weight_theoretical, tonn_fca_bin_Low'})"
0.1802,"frozenset({'resistance, tonn_fca_bin_High', 'steel_weight_theoretical, tonn_fca_bin_Low'})"
0.4498,"frozenset({'swing_frequency, amount/minute_fca_bin_Constant', 'steel_weight_theoretical, tonn_fca_bin_Low'})"
0.2828,"frozenset({'crystallizer_movement, mm_fca_bin_Low', 'steel_weight_theoretical, tonn_fca_bin_Low'})"
0.4498,"frozenset({'alloy_speed, meter/minute_fca_bin_Constant', 'steel_weight_theoretical, tonn_fca_bin_Low'})"
0.4498,"frozenset({'water_consumption, liter/minute_fca_bin_Constant', 'steel_weight_theoretical, tonn_fca_bin_Low'})"
0.4498,"frozenset({'water_temperature_delta, Celsius deg._fca_bin_Constant', 'steel_weight_theoretical, tonn_fca_bin_Low'})"
0.4498,"frozenset({'water_consumption_secondary_cooling_zone_num1, liter/minute_fca_bin_Constant', 'steel_weight_theoretical, tonn_fca_bin_Low'})"
0.2832,"frozenset({'steel_weight_theoretical, tonn_fca_bin_Medium', 'slag_weight_close_grab1, tonn_fca_bin_Constant'})"
0.2832,"frozenset({'steel_weight_theoretical, tonn_fca_bin_Medium', 'metal_residue_grab1, tonn_fca_bin_Constant'})"
0.2832,"frozenset({'steel_weight, tonn_fca_bin_Medium', 'steel_weight_theoretical, tonn_fca_bin_Medium'})"
0.2832,"frozenset({'steel_weight_theoretical, tonn_fca_bin_Medium', 'residuals_grab2, tonn_fca_bin_Constant'})"
0.2832,"frozenset({'steel_weight_theoretical, tonn_fca_bin_Medium', 'technical_trim, tonn_fca_bin_Constant'})"
0.2832,"frozenset({'swing_frequency, amount/minute_fca_bin_Constant', 'steel_weight_theoretical, tonn_fca_bin_Medium'})"
0.1668,"frozenset({'steel_weight_theoretical, tonn_fca_bin_Medium', 'crystallizer_movement, mm_fca_bin_Low'})"
0.2832,"frozenset({'alloy_speed, meter/minute_fca_bin_Constant', 'steel_weight_theoretical, tonn_fca_bin_Medium'})"
0.2832,"frozenset({'steel_weight_theoretical, tonn_fca_bin_Medium', 'water_consumption, liter/minute_fca_bin_Constant'})"
0.2832,"frozenset({'water_temperature_delta, Celsius deg._fca_bin_Constant', 'steel_weight_theoretical, tonn_fca_bin_Medium'})"
0.2832,"frozenset({'steel_weight_theoretical, tonn_fca_bin_Medium', 'water_consumption_secondary_cooling_zone_num1, liter/minute_fca_bin_Constant'})"
1.0,"frozenset({'metal_residue_grab1, tonn_fca_bin_Constant', 'slag_weight_close_grab1, tonn_fca_bin_Constant'})"
0.267,"frozenset({'steel_weight, tonn_fca_bin_High', 'slag_weight_close_grab1, tonn_fca_bin_Constant'})"
0.4498,"frozenset({'steel_weight, tonn_fca_bin_Low', 'slag_weight_close_grab1, tonn_fca_bin_Constant'})"
0.2832,"frozenset({'steel_weight, tonn_fca_bin_Medium', 'slag_weight_close_grab1, tonn_fca_bin_Constant'})"
1.0,"frozenset({'residuals_grab2, tonn_fca_bin_Constant', 'slag_weight_close_grab1, tonn_fca_bin_Constant'})"
1.0,"frozenset({'technical_trim, tonn_fca_bin_Constant', 'slag_weight_close_grab1, tonn_fca_bin_Constant'})"
0.2562,"frozenset({'grab1_num_fca_bin_High', 'slag_weight_close_grab1, tonn_fca_bin_Constant'})"
0.3702,"frozenset({'grab1_num_fca_bin_Low', 'slag_weight_close_grab1, tonn_fca_bin_Constant'})"
0.3736,"frozenset({'grab1_num_fca_bin_Medium', 'slag_weight_close_grab1, tonn_fca_bin_Constant'})"
0.2998,"frozenset({'steel_temperature_grab1, Celsius deg._fca_bin_High', 'slag_weight_close_grab1, tonn_fca_bin_Constant'})"
0.3398,"frozenset({'steel_temperature_grab1, Celsius deg._fca_bin_Low', 'slag_weight_close_grab1, tonn_fca_bin_Constant'})"
0.3604,"frozenset({'steel_temperature_grab1, Celsius deg._fca_bin_Medium', 'slag_weight_close_grab1, tonn_fca_bin_Constant'})"
0.1684,"frozenset({'slag_weight_close_grab1, tonn_fca_bin_Constant', 'grab2_num_fca_bin_High'})"
0.4134,"frozenset({'grab2_num_fca_bin_Low', 'slag_weight_close_grab1, tonn_fca_bin_Constant'})"
0.4182,"frozenset({'grab2_num_fca_bin_Medium', 'slag_weight_close_grab1, tonn_fca_bin_Constant'})"
0.3292,"frozenset({'resistance, tonn_fca_bin_High', 'slag_weight_close_grab1, tonn_fca_bin_Constant'})"
0.3318,"frozenset({'slag_weight_close_grab1, tonn_fca_bin_Constant', 'resistance, tonn_fca_bin_Low'})"
0.339,"frozenset({'resistance, tonn_fca_bin_Medium', 'slag_weight_close_grab1, tonn_fca_bin_Constant'})"
1.0,"frozenset({'swing_frequency, amount/minute_fca_bin_Constant', 'slag_weight_close_grab1, tonn_fca_bin_Constant'})"
0.2864,"frozenset({'crystallizer_movement, mm_fca_bin_High', 'slag_weight_close_grab1, tonn_fca_bin_Constant'})"
0.6254,"frozenset({'crystallizer_movement, mm_fca_bin_Low', 'slag_weight_close_grab1, tonn_fca_bin_Constant'})"
1.0,"frozenset({'alloy_speed, meter/minute_fca_bin_Constant', 'slag_weight_close_grab1, tonn_fca_bin_Constant'})"
1.0,"frozenset({'water_consumption, liter/minute_fca_bin_Constant', 'slag_weight_close_grab1, tonn_fca_bin_Constant'})"
1.0,"frozenset({'water_temperature_delta, Celsius deg._fca_bin_Constant', 'slag_weight_close_grab1, tonn_fca_bin_Constant'})"
1.0,"frozenset({'water_consumption_secondary_cooling_zone_num1, liter/minute_fca_bin_Constant', 'slag_weight_close_grab1, tonn_fca_bin_Constant'})"
0.267,"frozenset({'metal_residue_grab1, tonn_fca_bin_Constant', 'steel_weight, tonn_fca_bin_High'})"
0.4498,"frozenset({'metal_residue_grab1, tonn_fca_bin_Constant', 'steel_weight, tonn_fca_bin_Low'})"
0.2832,"frozenset({'steel_weight, tonn_fca_bin_Medium', 'metal_residue_grab1, tonn_fca_bin_Constant'})"
1.0,"frozenset({'metal_residue_grab1, tonn_fca_bin_Constant', 'residuals_grab2, tonn_fca_bin_Constant'})"
1.0,"frozenset({'metal_residue_grab1, tonn_fca_bin_Constant', 'technical_trim, tonn_fca_bin_Constant'})"
0.2562,"frozenset({'metal_residue_grab1, tonn_fca_bin_Constant', 'grab1_num_fca_bin_High'})"
0.3702,"frozenset({'metal_residue_grab1, tonn_fca_bin_Constant', 'grab1_num_fca_bin_Low'})"
