kmeans_cluster,dbscan_cluster,RUL,RUL_class
0,-1,1931.0,Healthy
0,-1,1598.0,Healthy
0,-1,1623.0,Healthy
1,-1,750.0,Medium
1,12,719.0,Medium
1,-1,688.0,Medium
1,-1,655.0,Medium
0,-1,1570.0,Healthy
0,-1,1545.0,Healthy
0,-1,1521.0,Healthy
1,12,784.0,Medium
1,12,815.0,Healthy
1,-1,846.0,Healthy
1,13,879.0,Healthy
1,13,910.0,Healthy
0,-1,8312.0,Healthy
0,-1,8337.0,Healthy
0,-1,1650.0,Healthy
0,-1,1675.0,Healthy
0,-1,1700.0,Healthy
0,-1,1725.0,Healthy
0,-1,1749.0,Healthy
0,-1,1774.0,Healthy
0,-1,560.0,Medium
0,-1,1820.0,Healthy
0,-1,1820.0,Healthy
0,-1,1842.0,Healthy
0,-1,1867.0,Healthy
0,-1,1891.0,Healthy
0,-1,1913.0,Healthy
0,-1,1953.0,Healthy
1,-1,0.0,Critical
1,-1,8991.0,Healthy
1,12,9087.0,Healthy
1,13,0.0,Critical
0,-1,624.0,Medium
0,-1,593.0,Medium
0,-1,559.0,Medium
0,-1,528.0,Medium
0,-1,500.0,Medium
0,-1,473.0,Medium
0,-1,445.0,Medium
0,-1,417.0,Medium
0,-1,389.0,Low
0,-1,361.0,Low
0,-1,334.0,Low
0,-1,334.0,Low
0,-1,278.0,Low
1,-1,9056.0,Healthy
0,-1,253.0,Low
0,-1,198.0,Low
0,-1,170.0,Low
0,-1,142.0,Critical
0,-1,111.0,Critical
0,-1,84.0,Critical
0,-1,59.0,Critical
0,-1,31.0,Critical
0,-1,0.0,Critical
1,-1,747.0,Medium
1,12,716.0,Medium
1,-1,685.0,Medium
1,-1,651.0,Medium
0,-1,621.0,Medium
0,-1,590.0,Medium
0,-1,226.0,Low
1,-1,0.0,Critical
1,13,0.0,Critical
1,12,0.0,Critical
1,12,9121.0,Healthy
1,-1,9151.0,Healthy
1,13,9185.0,Healthy
1,13,9216.0,Healthy
1,13,8558.0,Healthy
1,13,8524.0,Healthy
1,-1,8493.0,Healthy
1,12,8460.0,Healthy
1,12,8429.0,Healthy
1,-1,8398.0,Healthy
1,12,8367.0,Healthy
1,12,0.0,Critical
1,-1,8306.0,Healthy
0,-1,8272.0,Healthy
1,-1,8336.0,Healthy
0,-1,8210.0,Healthy
0,-1,8179.0,Healthy
0,-1,8155.0,Healthy
0,-1,8127.0,Healthy
0,-1,8099.0,Healthy
0,-1,8068.0,Healthy
0,-1,8040.0,Healthy
0,-1,8013.0,Healthy
0,-1,7985.0,Healthy
0,-1,8241.0,Healthy
0,-1,7985.0,Healthy
0,-1,7929.0,Healthy
1,12,0.0,Critical
1,-1,0.0,Critical
1,14,8103.0,Healthy
3,-1,6056.0,Healthy
1,-1,8239.0,Healthy
1,15,8160.0,Healthy
1,-1,8266.0,Healthy
3,-1,6110.0,Healthy
1,-1,2865.0,Healthy
1,-1,8097.0,Healthy
1,15,8133.0,Healthy
1,15,8187.0,Healthy
3,-1,6083.0,Healthy
3,-1,6135.0,Healthy
1,-1,8214.0,Healthy
3,-1,6163.0,Healthy
2,-1,6190.0,Healthy
1,-1,8728.0,Healthy
1,-1,0.0,Critical
3,-1,6700.0,Healthy
1,15,9057.0,Healthy
1,15,9000.0,Healthy
1,-1,8936.0,Healthy
3,-1,6780.0,Healthy
3,-1,6728.0,Healthy
3,-1,6753.0,Healthy
1,15,9027.0,Healthy
3,-1,6671.0,Healthy
1,-1,9139.0,Healthy
1,-1,9112.0,Healthy
1,-1,9084.0,Healthy
2,-1,6807.0,Healthy
1,14,8894.0,Healthy
1,14,8970.0,Healthy
1,-1,8855.0,Healthy
1,-1,3578.0,Healthy
1,14,3657.0,Healthy
3,-1,79.0,Critical
3,-1,27.0,Critical
1,15,3808.0,Healthy
1,15,3757.0,Healthy
1,-1,3699.0,Healthy
3,-1,106.0,Critical
1,-1,3618.0,Healthy
3,-1,54.0,Critical
1,14,3730.0,Healthy
3,-1,0.0,Critical
1,-1,3890.0,Healthy
1,-1,3863.0,Healthy
1,-1,3835.0,Healthy
2,-1,134.0,Critical
1,15,3784.0,Healthy
1,14,0.0,Critical
1,-1,8815.0,Healthy
3,-1,6826.0,Healthy
1,-1,11510.0,Healthy
1,-1,11538.0,Healthy
1,-1,11565.0,Healthy
3,-1,10830.0,Healthy
1,14,11399.0,Healthy
1,15,11456.0,Healthy
2,-1,10966.0,Healthy
3,-1,10886.0,Healthy
1,-1,11365.0,Healthy
1,15,11426.0,Healthy
1,15,11483.0,Healthy
3,-1,10859.0,Healthy
3,-1,10912.0,Healthy
1,-1,0.0,Critical
3,-1,10941.0,Healthy
3,-1,6878.0,Healthy
1,14,11323.0,Healthy
1,-1,11244.0,Healthy
1,15,8646.0,Healthy
1,15,8595.0,Healthy
1,-1,8537.0,Healthy
3,-1,6906.0,Healthy
3,-1,6853.0,Healthy
1,15,8619.0,Healthy
1,-1,11284.0,Healthy
1,14,8568.0,Healthy
1,-1,8701.0,Healthy
1,-1,8673.0,Healthy
2,-1,6933.0,Healthy
1,14,8535.0,Healthy
1,-1,0.0,Critical
1,-1,0.0,Critical
3,-1,6799.0,Healthy
1,-1,2902.0,Healthy
3,-1,107.0,Critical
2,-1,134.0,Critical
1,14,2941.0,Healthy
3,-1,79.0,Critical
1,15,3092.0,Healthy
1,15,3038.0,Healthy
1,-1,2980.0,Healthy
3,-1,54.0,Critical
